Technology,Country,Global warming,Stratospheric ozone depletion,Ionizing radiation,"Ozone formation, Human health",Fine particulate matter formation,"Ozone formation, Terrestrial ecosystems",Terrestrial acidification,Freshwater eutrophication,Marine eutrophication,Terrestrial ecotoxicity,Freshwater ecotoxicity,Marine ecotoxicity,Human carcinogenic toxicity,Human non-carcinogenic toxicity,Land use,Mineral resource scarcity,Fossil resource scarcity,Water consumption
biomass,EE,50.75278775,0.00027764,0.832029014,2.569461606,0.414477887,2.59407384,1.062753653,0.008994774,0.001217663,555.3726784,2.545876731,0.993180755,0.186436916,1.632681815,700.3726246,0.151360772,11.65077065,0.174934214
coal,EE,1285.968615,0.000166266,8.558806687,4.103136522,0.407216214,4.117463277,8.26662323,0.595253074,0.036859562,272.7941831,19.98239987,6.904772826,0.190337584,3.907269649,10.20762816,0.242375472,279.3771982,2.171267127
coal_chp,EE,1285.968615,0.000166266,8.558806687,4.103136522,0.407216214,4.117463277,8.26662323,0.595253074,0.036859562,272.7941831,19.98239987,6.904772826,0.190337584,3.907269649,10.20762816,0.242375472,279.3771982,2.171267127
gas,EE,620.9923811,0.000249173,0.976735106,0.540792782,0.016773401,0.556481804,0.366922086,0.007410876,0.00048118,47.42314462,0.909497579,0.563022607,0.007957214,0.496009629,0.561325729,0.146575078,229.980172,0.798722564
hydro_runof,EE,4.431406689,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955158,0.181731241,0.0616965,0.001905055,0.072697336,0.178394132,0.051202688,0.804620512,0.047863562
other_biogas,EE,345.375981,0.00129608,7.379338814,0.651773879,0.08656705,0.660963345,9.008573734,0.402944846,0.084247227,138.3859614,36.4699903,10.67224709,0.106596896,4.925282201,44.29541411,0.455656375,32.9793508,3.529482299
peat,EE,1324.650988,0.000130367,2.890507045,1.524744805,0.247129943,1.526708697,3.000264156,0.02783161,0.000942194,201.5814789,6.155306176,2.195325999,0.038898371,3.845786981,1.724737888,0.090022026,307.6474196,2.68907216
solar,EE,90.56211577,0.0000285,7.418122742,0.20282457,0.076966938,0.212648598,0.346742596,0.052395649,0.005823514,774.3169048,8.0621316,2.559813408,0.028929577,2.584005296,25.45141558,0.731973042,20.3439041,2.685667118
waste,EE,665.5809361,0.000562308,546.1698689,1.919632817,0.248015474,1.956811244,3.706013525,0.074312763,0.034117629,1062.703474,11.09413397,3.9418081,0.443000183,6.644856471,102.9294709,1.977121491,208.0937686,11.05621272
windon,EE,35.71409536,1.32039E-05,2.153492906,0.098664711,0.034316873,0.102152036,0.235228114,0.053557438,0.003629516,464.3408248,51.38758924,12.58959175,0.023872208,3.689189259,1.427413419,0.952864614,7.64922916,0.393237531
oil_chp,EE,891.6083328,0.000444278,8.265436134,2.748609224,0.131495364,2.778289157,6.349205555,0.017615636,0.001774698,1474.013128,1.611357961,1.301644979,0.527330959,3.904414592,1.549746034,0.17885765,279.599147,56.42042823
oil,EE,1209.152701,0.000591769,11.28314995,3.956343896,0.17881338,3.996964467,8.113715229,0.023986648,0.002423447,1868.148703,2.208056956,1.710199453,0.733546572,5.185201895,2.114562833,0.24379296,381.7110514,3.039580082
blast_furnace,EE,952.6820033,0.000104712,6.536715169,1.746081968,0.728558093,1.865743358,2.241583817,0.215494895,0.013899803,266.0505469,8.426393108,2.900462714,0.233857381,5.007450191,7.349041674,19.52254714,136.5585309,2.346415321
biomass,FI,51.46984333,12.04381397,557.3926204,2.560203235,1.14920891,0.851979948,0.200732365,1.642194822,700.3780644,1.479213274,1.45577974,0.998881122,0.096821874,0.16356814,0.18681382,0.009160357,0.001230123,0.000277947
coal,FI,1167.889108,251.8083375,106.9949716,16.07126559,2.512302036,7.43384552,1.953918936,2.859905367,8.97691356,1.529979851,1.517892286,5.362263347,0.092906898,0.228908807,0.16059434,0.525038815,0.034081536,0.000314522
coal_chp,FI,1173.588122,0.000316075,7.461691911,1.524839938,0.093110403,1.536958425,2.5239617,0.52752425,0.034245785,106.1096366,16.12538082,5.380103969,0.161261994,2.861878298,9.013245625,0.223813408,253.0451575,45.96814276
gas,FI,1047.970877,317.8127363,20.94673313,0.624626064,0.945272461,1.267565939,0.835937804,0.445837962,0.341323358,1.042026918,0.997198038,0.213968298,0.023240604,0.134811119,0.010547157,0.006986317,0.000490638,0.000444403
gas_chp,FI,995.6400444,310.9984895,29.57968047,0.728176083,0.830382658,1.29716604,1.077437898,0.49181029,0.366594833,0.74110432,0.697137358,0.249857499,0.024102146,0.163818227,0.011352761,0.007706061,0.000529645,0.000432915
