Technology,Country,Global warming,Stratospheric ozone depletion,Ionizing radiation,"Ozone formation, Human health",Fine particulate matter formation,"Ozone formation, Terrestrial ecosystems",Terrestrial acidification,Freshwater eutrophication,Marine eutrophication,Terrestrial ecotoxicity,Freshwater ecotoxicity,Marine ecotoxicity,Human carcinogenic toxicity,Human non-carcinogenic toxicity,Land use,Mineral resource scarcity,Fossil resource scarcity,Water consumption
biomass,EE,50.75278775,0.00027764,0.832029014,2.569461606,0.414477887,2.59407384,1.062753653,0.008994774,0.001217663,555.3726784,2.545876731,0.993180755,0.186436916,1.632681815,700.3726246,0.151360772,11.65077065,0.174934214
coal,EE,1285.968615,0.000166266,8.558806687,4.103136522,0.407216214,4.117463277,8.26662323,0.595253074,0.036859562,272.7941831,19.98239987,6.904772826,0.190337584,3.907269649,10.20762816,0.242375472,279.3771982,2.171267127
coal_chp,EE,1285.968615,0.000166266,8.558806687,4.103136522,0.407216214,4.117463277,8.26662323,0.595253074,0.036859562,272.7941831,19.98239987,6.904772826,0.190337584,3.907269649,10.20762816,0.242375472,279.3771982,2.171267127
gas,EE,620.9923811,0.000249173,0.976735106,0.540792782,0.016773401,0.556481804,0.366922086,0.007410876,0.00048118,47.42314462,0.909497579,0.563022607,0.007957214,0.496009629,0.561325729,0.146575078,229.980172,0.798722564
hydro_runof,EE,4.431406689,0.000000868,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,0.0000714,6.075955158,0.181731241,0.0616965,0.001905055,0.072697336,0.178394132,0.051202688,0.804620512,0.047863562
other_biogas,EE,345.375981,0.00129608,7.379338814,0.651773879,0.08656705,0.660963345,9.008573734,0.402944846,0.084247227,138.3859614,36.4699903,10.67224709,0.106596896,4.925282201,44.29541411,0.455656375,32.9793508,3.529482299
peat,EE,1324.650988,0.000130367,2.890507045,1.524744805,0.247129943,1.526708697,3.000264156,0.02783161,0.000942194,201.5814789,6.155306176,2.195325999,0.038898371,3.845786981,1.724737888,0.090022026,307.6474196,2.68907216
solar,EE,90.56211577,0.0000285,7.418122742,0.20282457,0.076966938,0.212648598,0.346742596,0.052395649,0.005823514,774.3169048,8.0621316,2.559813408,0.028929577,2.584005296,25.45141558,0.731973042,20.3439041,2.685667118
waste,EE,665.5809361,0.000562308,546.1698689,1.919632817,0.248015474,1.956811244,3.706013525,0.074312763,0.034117629,1062.703474,11.09413397,3.9418081,0.443000183,6.644856471,102.9294709,1.977121491,208.0937686,11.05621272
windon,EE,35.71409536,0.0000132,2.153492906,0.098664711,0.034316873,0.102152036,0.235228114,0.053557438,0.003629516,464.3408248,51.38758924,12.58959175,0.023872208,3.689189259,1.427413419,0.952864614,7.64922916,0.393237531
biomass,FI,51.15389179,0.000277838,0.826205453,1.455973827,0.097016948,1.47955184,1.150521301,0.009270978,0.001211917,557.1709632,2.56703622,1.00003017,0.186957087,1.638969518,700.3596623,0.168349502,12.10983153,0.192441599
coal,FI,1167.178311,0.000313808,7.310297534,1.5171247,0.092905481,1.529422632,2.518880979,0.525038665,0.033893319,106.0382467,16.1201037,5.371201629,0.160490943,2.851520693,8.871141113,0.231446066,251.8159509,1.936292254
coal_chp,FI,1173.588122,0.000316075,7.461691911,1.524839938,0.093110403,1.536958425,2.5239617,0.52752425,0.034245785,106.1096366,16.12538082,5.380103969,0.161261994,2.861878298,9.013245625,0.223813408,253.0451575,45.96814276
gas,FI,1047.562158,0.000444363,1.240183654,0.997582214,0.023505094,1.042621514,0.946726167,0.007179555,0.000494457,20.79232141,0.626071322,0.214133361,0.010791776,0.445910577,0.334295145,0.141751174,317.9289152,0.831370115
gas_chp,FI,677.8798179,0.000294672,0.889274133,0.568035907,0.017441964,0.598221271,0.609233028,0.007728254,0.000493834,42.50406394,0.925174461,0.310956356,0.008229936,0.508397658,0.488972773,0.14266655,211.8418856,0.738927211
hydro_runof,FI,4.342277657,0.000000867,0.239704606,0.015405714,0.005201615,0.01580403,0.013182219,0.001526276,0.0000721,6.016436878,0.17806772,0.060730656,0.001957661,0.072416399,0.177010173,0.052633274,0.829182183,0.046548641
nuclear_BWR,FI,13.43175596,0.0000246,761.1655282,0.041439741,0.029347769,0.042230913,0.050202717,0.008859402,0.013207446,96.5747658,0.891619852,0.317961965,0.007165407,1.589267896,0.309406846,0.969897743,3.107762515,3.098946176
nuclear_PWR,FI,12.86749093,0.0000236,688.2324745,0.039655309,0.028134928,0.040408928,0.047846823,0.00846389,0.012424145,91.8293517,0.84895002,0.30282347,0.006861424,1.49869651,0.279973306,0.916824188,2.984785766,3.075758201
